ID_RESENA,PK_RELACIONAL,NOMBRE_RECURSO,BARRIO_RECURSO,CATEGORIA_RECURSO,TEXTO_RESENA,CALIFICACION,FECHA,IDIOMA,AUTOR_SINTETICO,DATASET_SINTETICO
C0000000,R000000,VITACA,Justicia,restaurantes,"Lugar lindo, uma experiencia otima.",5,2023-07-30,pt,Clara T.,True
C0000001,R000002,HOTEL MEDIODIA,Embajadores,restaurantes,"Loved it. One of the highlights of our trip, great value for money.",4,2025-05-30,en,Sophie F.,True
C0000002,R000008,VALDEMESO,Sol,restaurantes,"La verdad, carta corta pero suficiente, la comida correcta sin destacar, raciones normales. Ni fu ni fa.",3,2023-07-23,es,Tom M.,True
C0000003,R000008,VALDEMESO,Sol,restaurantes,"Volveremos seguro. El vino de la casa acompaña genial, productos muy frescos, cocina tradicional bien ejecutada. Un 10.",4,2023-03-13,es,Nuria L.,True
C0000004,R000010,NEMRUT KEBAB PIZZA,Palacio,restaurantes,"Nella media, va bene per una visita veloce.",3,2025-11-23,it,Marie S.,True
C0000005,R000011,SIETE,Universidad,restaurantes,"La verdad, carta corta pero suficiente, el servicio algo lento pero amable, raciones normales. Ni fu ni fa.",5,2025-11-28,es,Sergio T.,True
C0000006,R000012,DC RESTAURANTE,Cortes,restaurantes,"Muy recomendable. Platos caseros llenos de sabor, postres caseros deliciosos, el servicio atento y cercano. Merece mucho la pena.",4,2023-02-08,es,Anna P.,True
C0000007,R000012,DC RESTAURANTE,Cortes,restaurantes,"Volveremos seguro. Productos muy frescos, terraza agradable para cenar, el pescado y la carne de primera. Volveremos.",5,2024-05-24,es,Anna V.,True
C0000008,R000013,HOTEL,Sol,restaurantes,"Volveremos seguro. Las tapas riquisimas, el servicio atento y cercano, cocina tradicional bien ejecutada. Un 10.",4,2024-02-02,es,Anna H.,True
C0000009,R000013,HOTEL,Sol,restaurantes,"Raciones generosas, platos caseros llenos de sabor. Un 10.",5,2024-08-15,es,Joao M.,True
C0000010,R000013,HOTEL,Sol,restaurantes,"Loved it. Beautiful and well kept, stunning place.",4,2023-02-14,en,Hans R.,True
C0000011,R000013,HOTEL,Sol,restaurantes,"Repetiremos. Cocina tradicional bien ejecutada, productos muy frescos, el pescado y la carne de primera. Merece mucho la pena.",5,2024-07-19,es,Tom P.,True
C0000012,R000013,HOTEL,Sol,restaurantes,"La verdad, carta corta pero suficiente, la comida correcta sin destacar. Cumple.",3,2023-07-01,es,Liam S.,True
C0000013,R000013,HOTEL,Sol,restaurantes,"Loved it. Clean and welcoming, stunning place.",5,2025-06-25,en,Tom L.,True
C0000014,R000013,HOTEL,Sol,restaurantes,"Toller Ort, gutes Preis-Leistungs-Verhaeltnis.",4,2023-05-20,de,Ivan T.,True
C0000015,R000013,HOTEL,Sol,restaurantes,"Volveremos seguro. Postres caseros deliciosos, el servicio atento y cercano, el vino de la casa acompaña genial.",5,2023-11-24,es,Luis T.,True
C0000016,R000014,CAÑAS Y TAPAS,Palacio,restaurantes,"Repetiremos. Platos caseros llenos de sabor, productos muy frescos, buena relacion calidad-precio.",5,2023-11-24,es,Diego M.,True
C0000017,R000014,CAÑAS Y TAPAS,Palacio,restaurantes,"La verdad, la comida correcta sin destacar, precio ajustado, el servicio algo lento pero amable. Cumple.",4,2025-05-03,es,Anna B.,True
C0000018,R000015,LA PARRALA,Palacio,restaurantes,"Volveremos seguro. La comida estaba deliciosa, cocina tradicional bien ejecutada, ambiente acogedor. Lo recomiendo.",4,2025-04-11,es,Hans H.,True
C0000019,R000016,RESTAURANTE LA ALHAMBRA,Embajadores,restaurantes,"Muy recomendable. Buena relacion calidad-precio, el vino de la casa acompaña genial, terraza agradable para cenar.",4,2023-11-05,es,Emma P.,True
C0000020,R000016,RESTAURANTE LA ALHAMBRA,Embajadores,restaurantes,"Personale gentile, posto stupendo.",5,2023-07-05,it,Anna G.,True
C0000021,R000016,RESTAURANTE LA ALHAMBRA,Embajadores,restaurantes,"Nos encanto. El pescado y la carne de primera, platos caseros llenos de sabor, buena relacion calidad-precio. Lo recomiendo.",4,2025-11-24,es,Chiara T.,True
C0000022,R000018,BAR MARISQUERIA  LA PALOMA,Embajadores,restaurantes,"Sinceramente, caro para lo que ofrecen, el local estaba sucio.",2,2023-11-13,es,Hans L.,True
C0000023,R000018,BAR MARISQUERIA  LA PALOMA,Embajadores,restaurantes,"Sinceramente, tardaron muchisimo en servir, demasiado ruido dentro.",2,2023-10-27,es,Sophie C.,True
C0000024,R000018,BAR MARISQUERIA  LA PALOMA,Embajadores,restaurantes,"Muy recomendable. Buena relacion calidad-precio, la paella espectacular, el vino de la casa acompaña genial. Lo recomiendo.",5,2024-04-09,es,Giulia B.,True
C0000025,R000018,BAR MARISQUERIA  LA PALOMA,Embajadores,restaurantes,"Muy recomendable. La comida estaba deliciosa, las tapas riquisimas. Un 10.",5,2025-10-17,es,Joao G.,True
C0000026,R000018,BAR MARISQUERIA  LA PALOMA,Embajadores,restaurantes,"Nos encanto. El pescado y la carne de primera, las tapas riquisimas, la paella espectacular.",5,2025-01-19,es,Pablo B.,True
